cam_id,gimbal_speed,pan_setpoint,tilt_setpoint,execution_time
2,1,-50,-5,4.4781579142436385
2,1,-45,-4,7.200221311766654
2,1,-50,-3,1.794891000725329
2,1,-40,-2,0.7879960760474205
2,1,-50,-1,1.7999819666147232
2,1,-35,0,1.6011888170614839
2,1,-50,1,2.391321017872542
2,1,-30,2,1.3933128397911787
2,1,-50,3,2.6057574544101954
2,1,-25,4,
2,1,-50,5,0.3812246317975223
2,1,-20,-5,1.6046038717031479
2,1,-50,-4,2.7918386980891228
2,1,-15,-3,1.395839654840529
2,1,-50,-2,2.796180356759578
2,1,-10,-1,1.6013233079575002
2,1,-50,0,2.5949553214013577
2,1,-5,1,1.6013859841041267
2,1,-50,2,2.5966009199619293
2,1,0,3,1.7952673030085862
2,1,-50,4,2.5942708123475313
2,1,5,5,1.7983607179485261
2,1,-50,-5,3.590463093947619
2,1,10,-4,
2,1,-50,-3,3.5960013400763273
2,1,15,-2,1.9991520117036998
2,1,-50,-1,2.5883959038183093
2,1,20,0,2.6041508340276778
2,1,-50,1,2.989145474974066
2,1,25,2,
2,1,-50,3,0.5937410946935415
2,1,30,4,2.5998740387149155
2,1,-50,5,3.008607951924205
2,1,35,-5,3.779493727721274
2,1,-50,-4,3.0040513719432056
2,1,40,-3,
2,1,-50,-2,7.586101572960615
2,1,45,-1,
2,1,-50,0,2.1983389230445027
2,1,50,1,3.1895368667319417
2,2,-50,2,15.20423513604328
2,2,-45,3,
2,2,-50,4,0.7939844680950046
2,2,-40,5,3.1913614505901933
2,2,-50,-5,2.195952251087874
2,2,-35,-4,1.5989193157292902
2,2,-50,-3,3.1897274432703853
2,2,-30,-2,
2,2,-50,-1,
2,2,-25,0,14.20715955318883
2,2,-50,1,0.5858867419883609
2,2,-20,2,1.9942788612097502
2,2,-50,3,3.6011829311028123
2,2,-15,4,1.5890659941360354
2,2,-50,5,2.805153631605208
2,2,-10,-5,1.793081248179078
2,2,-50,-4,
2,2,-5,-3,1.993205588310957
2,2,-50,-2,
2,2,0,-1,1.594296018127352
2,2,-50,0,3.3963352940045297
2,2,5,1,2.1892426386475563
2,2,-50,2,4.002331883646548
2,2,10,3,
2,2,-50,4,2.3892379412427545
2,2,15,5,2.194990904070437
2,2,-50,-5,2.994273499120027
2,2,20,-4,
2,2,-50,-3,3.795394886750728
2,2,25,-2,3.5922412970103323
2,2,-50,-1,3.194942255038768
2,2,30,0,9.19545657467097
2,2,-50,1,3.600341259036213
2,2,35,2,3.3844549036584795
2,2,-50,3,3.401360724121332
2,2,40,4,2.998208433855325
2,2,-50,5,10.598301003221422
2,2,45,-5,
2,2,-50,-4,3.185293781105429
2,2,50,-3,3.793833261821419
2,2,-50,-2,3.403320132754743
2,3,-50,-1,7.595385875087231
2,3,-45,0,4.595114659983665
2,3,-50,1,2.1915771989151835
2,3,-40,2,2.0000758077949286
2,3,-50,3,3.192528774961829
2,3,-35,4,1.996294803917408
2,3,-50,5,2.7982072848826647
2,3,-30,-5,1.9882749090902507
2,3,-50,-4,3.4022972430102527
2,3,-25,-3,
2,3,-50,-2,3.785961397923529
2,3,-20,-1,2.202557045035064
2,3,-50,0,3.591335386969149
2,3,-15,1,1.9991415520198643
2,3,-50,2,2.9991919677704573
2,3,-10,3,
2,3,-50,4,3.7944707861170173
2,3,-5,5,
2,3,-50,-5,3.5825916957110167
2,3,0,-4,2.1949487421661615
2,3,-50,-3,4.399914213921875
2,3,5,-2,2.5922238947823644
2,3,-50,-1,2.3989750179462135
2,3,10,0,
2,3,-50,1,
2,3,15,2,
2,3,-50,3,2.9883914003148675
2,3,20,4,
2,3,-50,5,1.587905591353774
2,3,25,-5,
2,3,-50,-4,1.7947467351332307
2,3,30,-3,3.7922816299833357
2,3,-50,-2,3.999727053102106
2,3,35,-1,
2,3,-50,0,1.3861940652132034
