cam_id,gimbal_speed,pan_setpoint,tilt_setpoint
4,1,-50,-5
4,1,-45,-4
4,1,-50,-3
4,1,-40,-2
4,1,-50,-1
4,1,-35,0
4,1,-50,1
4,1,-30,2
4,1,-50,3
4,1,-25,4
4,1,-50,5
4,1,-20,-5
4,1,-50,-4
4,1,-15,-3
4,1,-50,-2
4,1,-10,-1
4,1,-50,0
4,1,-5,1
4,1,-50,2
4,1,0,3
4,1,-50,4
4,1,5,5
4,1,-50,-5
4,1,10,-4
4,1,-50,-3
4,1,15,-2
4,1,-50,-1
4,1,20,0
4,1,-50,1
4,1,25,2
4,1,-50,3
4,1,30,4
4,1,-50,5
4,1,35,-5
4,1,-50,-4
4,1,40,-3
4,1,-50,-2
4,1,45,-1
4,1,-50,0
4,1,50,1
4,2,-50,2
4,2,-45,3
4,2,-50,4
4,2,-40,5
4,2,-50,-5
4,2,-35,-4
4,2,-50,-3
4,2,-30,-2
4,2,-50,-1
4,2,-25,0
4,2,-50,1
4,2,-20,2
4,2,-50,3
4,2,-15,4
4,2,-50,5
4,2,-10,-5
4,2,-50,-4
4,2,-5,-3
4,2,-50,-2
4,2,0,-1
4,2,-50,0
4,2,5,1
4,2,-50,2
4,2,10,3
4,2,-50,4
4,2,15,5
4,2,-50,-5
4,2,20,-4
4,2,-50,-3
4,2,25,-2
4,2,-50,-1
4,2,30,0
4,2,-50,1
4,2,35,2
4,2,-50,3
4,2,40,4
4,2,-50,5
4,2,45,-5
4,2,-50,-4
4,2,50,-3
4,2,-50,-2
4,3,-50,-1
4,3,-45,0
4,3,-50,1
4,3,-40,2
4,3,-50,3
4,3,-35,4
4,3,-50,5
4,3,-30,-5
4,3,-50,-4
4,3,-25,-3
4,3,-50,-2
4,3,-20,-1
4,3,-50,0
4,3,-15,1
4,3,-50,2
4,3,-10,3
4,3,-50,4
4,3,-5,5
4,3,-50,-5
4,3,0,-4
4,3,-50,-3
4,3,5,-2
4,3,-50,-1
4,3,10,0
4,3,-50,1
4,3,15,2
4,3,-50,3
4,3,20,4
4,3,-50,5
4,3,25,-5
4,3,-50,-4
4,3,30,-3
4,3,-50,-2
4,3,35,-1
4,3,-50,0
4,3,40,1
4,3,-50,2
4,3,45,3
4,3,-50,4
4,3,50,5
4,4,-50,-5
4,4,-45,-4
4,4,-50,-3
4,4,-40,-2
4,4,-50,-1
4,4,-35,0
4,4,-50,1
4,4,-30,2
4,4,-50,3
4,4,-25,4
4,4,-50,5
4,4,-20,-5
4,4,-50,-4
4,4,-15,-3
4,4,-50,-2
4,4,-10,-1
4,4,-50,0
4,4,-5,1
4,4,-50,2
4,4,0,3
4,4,-50,4
4,4,5,5
4,4,-50,-5
4,4,10,-4
4,4,-50,-3
4,4,15,-2
4,4,-50,-1
4,4,20,0
4,4,-50,1
4,4,25,2
4,4,-50,3
4,4,30,4
4,4,-50,5
4,4,35,-5
4,4,-50,-4
4,4,40,-3
4,4,-50,-2
4,4,45,-1
4,4,-50,0
4,4,50,1
4,5,-50,2
4,5,-45,3
4,5,-50,4
4,5,-40,5
4,5,-50,-5
4,5,-35,-4
4,5,-50,-3
4,5,-30,-2
4,5,-50,-1
4,5,-25,0
4,5,-50,1
4,5,-20,2
4,5,-50,3
4,5,-15,4
4,5,-50,5
4,5,-10,-5
4,5,-50,-4
4,5,-5,-3
4,5,-50,-2
4,5,0,-1
4,5,-50,0
4,5,5,1
4,5,-50,2
4,5,10,3
4,5,-50,4
4,5,15,5
4,5,-50,-5
4,5,20,-4
4,5,-50,-3
4,5,25,-2
4,5,-50,-1
4,5,30,0
4,5,-50,1
4,5,35,2
4,5,-50,3
4,5,40,4
4,5,-50,5
4,5,45,-5
4,5,-50,-4
4,5,50,-3
4,6,-50,-2
4,6,-45,-1
4,6,-50,0
4,6,-40,1
4,6,-50,2
4,6,-35,3
4,6,-50,4
4,6,-30,5
4,6,-50,-5
4,6,-25,-4
4,6,-50,-3
4,6,-20,-2
4,6,-50,-1
4,6,-15,0
4,6,-50,1
4,6,-10,2
4,6,-50,3
4,6,-5,4
4,6,-50,5
4,6,0,-5
4,6,-50,-4
4,6,5,-3
4,6,-50,-2
4,6,10,-1
4,6,-50,0
4,6,15,1
4,6,-50,2
4,6,20,3
4,6,-50,4
4,6,25,5
4,6,-50,-5
4,6,30,-4
4,6,-50,-3
4,6,35,-2
4,6,-50,-1
4,6,40,0
4,6,-50,1
4,6,45,2
4,6,-50,3
4,6,50,4
4,7,-50,5
4,7,-45,-5
4,7,-50,-4
4,7,-40,-3
4,7,-50,-2
4,7,-35,-1
4,7,-50,0
4,7,-30,1
4,7,-50,2
4,7,-25,3
4,7,-50,4
4,7,-20,5
4,7,-50,-5
4,7,-15,-4
4,7,-50,-3
4,7,-10,-2
4,7,-50,-1
4,7,-5,0
4,7,-50,1
4,7,0,2
4,7,-50,3
4,7,5,4
