cam_id,gimbal_speed,pan_setpoint,tilt_setpoint
5,1,-50,0
5,1,50,0
5,1,-50,0
5,1,50,0
5,1,-50,0
5,1,50,0
5,1,-50,0
5,1,50,0
5,1,-25,0
5,1,25,0
5,1,-25,0
5,1,25,0
5,1,-25,0
5,1,25,0
5,1,-25,0
5,1,25,0
5,2,-50,0
5,2,50,0
5,2,-50,0
5,2,50,0
5,2,-50,0
5,2,50,0
5,2,-50,0
5,2,50,0
5,2,-25,0
5,2,25,0
5,2,-25,0
5,2,25,0
5,2,-25,0
5,2,25,0
5,2,-25,0
5,2,25,0
5,3,-50,0
5,3,50,0
5,3,-50,0
5,3,50,0
5,3,-50,0
5,3,50,0
5,3,-50,0
5,3,50,0
5,3,-25,0
5,3,25,0
5,3,-25,0
5,3,25,0
5,3,-25,0
5,3,25,0
5,3,-25,0
5,3,25,0
5,4,-50,0
5,4,50,0
5,4,-50,0
5,4,50,0
5,4,-50,0
5,4,50,0
5,4,-50,0
5,4,50,0
5,4,-25,0
5,4,25,0
5,4,-25,0
5,4,25,0
5,4,-25,0
5,4,25,0
5,4,-25,0
5,4,25,0
5,5,-50,0
5,5,50,0
5,5,-50,0
5,5,50,0
5,5,-50,0
5,5,50,0
5,5,-50,0
5,5,50,0
5,5,-25,0
5,5,25,0
5,5,-25,0
5,5,25,0
5,5,-25,0
5,5,25,0
5,5,-25,0
5,5,25,0
5,6,-50,0
5,6,50,0
5,6,-50,0
5,6,50,0
5,6,-50,0
5,6,50,0
5,6,-50,0
5,6,50,0
5,6,-25,0
5,6,25,0
5,6,-25,0
5,6,25,0
5,6,-25,0
5,6,25,0
5,6,-25,0
5,6,25,0
5,7,-50,0
5,7,50,0
5,7,-50,0
5,7,50,0
5,7,-50,0
5,7,50,0
5,7,-50,0
5,7,50,0
5,7,-25,0
5,7,25,0
5,7,-25,0
5,7,25,0
5,7,-25,0
5,7,25,0
5,7,-25,0
5,7,25,0
5,8,-50,0
5,8,50,0
5,8,-50,0
5,8,50,0
5,8,-50,0
5,8,50,0
5,8,-50,0
5,8,50,0
5,8,-25,0
5,8,25,0
5,8,-25,0
5,8,25,0
5,8,-25,0
5,8,25,0
5,8,-25,0
5,8,25,0
