cam_id,gimbal_speed,pan_setpoint,tilt_setpoint
2,1,35,2
2,1,-36,2
2,1,-43,3
2,1,-46,-5
2,1,-12,2
2,1,35,-5
2,1,4,4
2,1,28,-2
2,1,10,5
2,1,-34,-4
2,1,46,-5
2,1,-23,4
2,1,6,0
2,1,21,-3
2,1,25,5
2,1,-17,-3
2,1,50,-4
2,1,11,1
2,1,-48,-3
2,1,47,0
2,2,-21,1
2,2,-33,3
2,2,-1,-4
2,2,35,4
2,2,-18,-4
2,2,-18,3
2,2,-40,0
2,2,-44,0
2,2,0,-2
2,2,-8,1
2,2,-9,0
2,2,16,-5
2,2,-40,-3
2,2,-5,-4
2,2,10,-3
2,2,-42,1
2,2,29,-4
2,2,2,-2
2,2,44,-5
2,2,-3,2
2,3,-29,-5
2,3,-3,-2
2,3,17,-5
2,3,0,-4
2,3,33,0
2,3,33,5
2,3,-8,-1
2,3,48,1
2,3,20,1
2,3,-22,-5
2,3,11,1
2,3,-22,0
2,3,3,4
2,3,7,3
2,3,-32,3
2,3,-50,-2
2,3,31,3
2,3,-30,1
2,3,-42,5
2,3,-47,-5
2,4,-27,-5
2,4,-29,0
2,4,12,1
2,4,-13,-2
2,4,46,-2
2,4,-38,-4
2,4,17,-5
2,4,30,1
2,4,12,-4
2,4,27,-4
2,4,-42,5
2,4,-13,5
2,4,-32,-2
2,4,22,-4
2,4,7,0
2,4,14,-2
2,4,-8,4
2,4,-10,-5
2,4,-16,5
2,4,-1,-4
2,5,-14,2
2,5,-26,5
2,5,-31,2
2,5,-8,0
2,5,-22,3
2,5,-42,1
2,5,-1,3
2,5,-27,2
2,5,-16,-2
2,5,2,-5
2,5,-41,5
2,5,-2,5
2,5,-50,-5
2,5,-41,0
2,5,14,-4
2,5,13,2
2,5,-19,4
2,5,-18,-4
2,5,-26,-3
2,5,33,-1
2,6,40,-3
2,6,49,-5
2,6,5,4
2,6,42,-3
2,6,-31,-4
2,6,-22,3
2,6,3,-1
2,6,-9,5
2,6,31,-5
2,6,-27,-3
2,6,20,1
2,6,-23,5
2,6,-29,0
2,6,29,1
2,6,-8,3
2,6,-32,0
2,6,28,-1
2,6,27,1
2,6,47,2
2,6,-45,1
2,7,-38,2
2,7,43,-5
2,7,-12,3
2,7,-27,0
2,7,-7,-4
2,7,-28,-2
2,7,-26,-1
2,7,-7,4
2,7,-48,-2
2,7,34,3
2,7,-6,-2
2,7,35,4
2,7,13,-1
2,7,20,0
2,7,-45,-3
2,7,-30,3
2,7,48,-5
2,7,-34,0
2,7,23,-4
2,7,-35,1
2,8,0,3
2,8,-9,-3
2,8,-22,1
2,8,-5,5
2,8,28,-3
2,8,-22,2
2,8,-25,-3
2,8,-42,3
2,8,-4,3
2,8,8,0
2,8,18,4
2,8,-43,-1
2,8,48,-4
2,8,5,5
2,8,11,4
2,8,-44,-1
2,8,44,3
2,8,10,-5
2,8,-17,-2
2,8,7,-2
